id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
180052,"Germany, Government of",Malteser International Order of Malta World Relief,"Basic medical care for returnees, internally displaced people and host communities2018: 35.193 €   2019: 175.102,57 €   2020: 147.494,65 €, Multiyear 2018-2020, total award Euro 357.791",,0.00,Commitment,2019
181484,"Germany, Government of",Adventist Development and Relief Agency,"Cash-based food aid and fuel for internally displaced persons and returnees2018: 345.000,00 €    2019: 180.000,00 €",,0.00,Commitment,2019
181506,"Germany, Government of",Adventist Development and Relief Agency,"Cash-based food aid and fuel for internally displaced persons and returnees2018: 345.000,00 €    2019: 180.000,00 € (2019 portion)",Emergency Shelter and NFI | Food Security,210526.00,Commitment,2019
182462,"United Kingdom, Government of",United Nations Mine Action Service,"Global Mine Action through UNMAS , Multi-year, 2018-2019, total amount GBP 20,000,000",,0.00,Commitment,2019
182466,"United Kingdom, Government of",United Nations Mine Action Service,Demining portion outside the HRP (of Multiyear 2019 portion total GBP 12.9 Million),,15205690.00,Commitment,2019
182949,"Germany, Government of",Johanniter-Unfall-Hilfe e.V.,"Improved access to drinking water, sanitation and medical services for internally displaced persons, returnees and host communities, especially women and persons with disabilities, in informal settlements in Kabul, Afghanistan2018: 0,00 €    2019: 413.659,37 €    2020: 86.850,90 €",,0.00,Commitment,2019
183069,"United States of America, Government of",International Organization for Migration,"Shelter and Settlements,Humanitarian Coordination and Info Management,Risk Management Policy and Practice(USAID/OFDA)",Emergency Shelter and NFI,5000000.00,Paid Contribution,2019
183692,"Germany, Government of",Johanniter-Unfall-Hilfe e.V.,"Improved access to drinking water, sanitation and medical services for internally displaced persons, returnees and host communities, especially women and persons with disabilities, in informal settlements in Kabul, Afghanistan2018: 0,00 €    2019: 413.659,37 €    2020: 86.850,90 € (2019 portion)",Health | Protection,470067.00,Commitment,2019
184876,European Commission's Humanitarian Aid and Civil Protection Department,,HUMANITARIAN IMPLEMENTATION PLAN (HIP) - AFGHANISTAN (ECHO/-AS/BUD/2019/91000),,5172728.00,Commitment,2019
185353,Caritas Germany (DCV),Caritas Germany (DCV),Humanitarian assistance in Afghanistan (2020 portion),Emergency Shelter and NFI | Food Security | Protection | Water Sanitation Hygiene,0.00,Commitment,2019
186099,"Canada, Government of",World Food Programme,Humanitarian assistance (P006769),Food Security,757002.00,Paid Contribution,2019
186101,"Canada, Government of",Afghanistan Humanitarian Fund,Afghanistan Humanitarian Fund (MPTF 5632),,376049.00,Paid Contribution,2019
186127,Afghanistan Humanitarian Fund,United Nations Children's Fund,"Scaling up severe acute malnutrition (SAM) treatment services and providing lifesaving therapeutic supply (RUTF) for drought affected districts of Badghis, Jawzjan, Nooristan, Farah, Takhar, Samangan, Urozgan, Zabul and Badakhshan provinces.",Nutrition,1009443.00,Paid Contribution,2019
187173,"United States of America, Government of",World Food Programme,Food Security (USAID/FFP),Food Security,594497.00,Paid Contribution,2019
187336,"Denmark, Government of",Food & Agriculture Organization of the United Nations,"Emergency livelihoods support for vulnerable livestock owners in Badghis, Daikundi, Ghor, Helmand, Herat and Kandahar.",Food Security,3059039.00,Paid Contribution,2019
187354,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,663225.00,Commitment,2019
187355,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,1560.00,Commitment,2019
187356,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,34240.00,Commitment,2019
187359,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,84200.00,Commitment,2019
187364,"United States of America, Government of",,Program Support  ( USAID/OFDA),Coordination and support services,955822.00,Commitment,2019
187482,"United Arab Emirates, Government of",,"Winter aid  orphanage (Amid freda), were Provided jackets ,socks, food and  health tool through Embassy of the United Arab Emirates  (GOV-2019-001)",Emergency Shelter and NFI | Food Security,3198.00,Paid Contribution,2019
187590,"Japan, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office [OCT 6383];[TM/OCHA/059],Coordination and support services,178571.00,Paid Contribution,2019
187709,"Switzerland, Government of",Norwegian Refugee Council,"S t a y , Deliver and Protect (SDP): Protecion, access and security,  Multiyear 2019-2023,total amount CHF 2,320,000 (7F-10164.01)",,0.00,Commitment,2019
187710,"Switzerland, Government of",Norwegian Refugee Council,"S t a y , Deliver and Protect (SDP): Protecion, access and security,  Multiyear 2019-2023, 2019 portion, total amount CHF 370,000 (7F-10164.01)",Protection,370741.00,Commitment,2019
188002,Afghanistan Humanitarian Fund,Danish Refugee Council,Increasing safe and dignified living conditions through provision of cash for winterization support to internally displaced persons (IDPs) affected by drought in Herat province.,Emergency Shelter and NFI,1310500.00,Paid Contribution,2019
188003,Afghanistan Humanitarian Fund,International Rescue Committee,Winterization and shelter support for drought IDPs in Herat.,Emergency Shelter and NFI,667444.00,Paid Contribution,2019
188004,Afghanistan Humanitarian Fund,International Rescue Committee,Winterization and shelter support to drought displaced IDPs in Badghis.,Emergency Shelter and NFI,1324358.00,Paid Contribution,2019
188005,"Australia, Government of",Afghanistan Humanitarian Fund,Afghanistan Humanitarian Fund 2019,,3593985.00,Paid Contribution,2019
188006,"Switzerland, Government of",Afghanistan Humanitarian Fund,Afghanistan Humanitarian Fund 2019 (7F-09723.02),,599965.00,Paid Contribution,2019
188169,"Sweden, Government of",Norwegian Refugee Council,Emergency shelter and NFI assistance for flash flood affected households in southern Afghanistan.,Emergency Shelter and NFI,215750.00,Commitment,2019
188198,"Sweden, Government of",Swedish Civil Contingencies Agency (MSB),Secondment of Information Management Officer to OCHA.,Coordination and support services,49622.00,Commitment,2019
188201,"Sweden, Government of",Swedish Civil Contingencies Agency (MSB),Secondment of WASH specialist to UNICEF Afghanistan,Water Sanitation Hygiene,0.00,Commitment,2019
188224,"Japan, Government of",Food & Agriculture Organization of the United Nations,Integrated emergency livestock assistance to draught-affected farming families,Food Security,625000.00,Commitment,2019
188354,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,199584.00,Commitment,2019
188356,"United States of America, Government of",United Nations Children's Fund,Nutrition (USAID/OFDA),Nutrition,300000.00,Paid Contribution,2019
188400,"United States of America, Government of",United Nations High Commissioner for Refugees,Against Afghanistan HRP (State/PRM),,4600000.00,Paid Contribution,2019
188403,"United States of America, Government of",World Food Programme,Food Security (USAID/FFP),Food Security,31055536.00,Paid Contribution,2019
188428,"Japan, Government of",United Nations High Commissioner for Refugees,Outside the HRP,,2514500.00,Paid Contribution,2019
188430,"Germany, Government of",United Nations High Commissioner for Refugees,Outside the HRP,,958743.00,Paid Contribution,2019
189101,Afghanistan Humanitarian Fund,EMERGENCY - Life Support for Civilian War Victims ONG Onlus,"Lifesaving health services, mass casualty response and referral system for trauma affected population in EMERGENCY War Surgical Centre in Kabul and First Aid Posts in Ghazni, Maydan-Wardak, Patkia, Kapisa, Parwan, Logar and Laghman provinces.",Health,1200000.00,Paid Contribution,2019
189463,"Sweden, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office [OCT 6514];[52040482Amend1],Coordination and support services,539374.00,Paid Contribution,2019
189523,"Denmark, Government of",Mission Ost - DNK,Annual Programme 2019,,2020689.00,Commitment,2019
189907,"United States of America, Government of",Food & Agriculture Organization of the United Nations,"Strengthen coordination of emergency food security response planning, implementation and monitoring in Afghanistan (USAID/OFDA)",Food Security,550000.00,Commitment,2019
190060,European Commission's Humanitarian Aid and Civil Protection Department,Première Urgence Internationale,Multi-sector lifesaving assistance to conflict-affected populations in Eastern Afghanistan (ECHO/-AS/BUD/2019/91008),Health,3591470.00,Commitment,2019
190062,European Commission's Humanitarian Aid and Civil Protection Department,Norwegian Refugee Council,Protection and Education Response to Armed Conflict and Displacement in Afghanistan (part of ECHO/-AS/BUD/2019/91006),Protection,2518592.00,Commitment,2019
190076,"Sweden, Government of",International Committee of the Red Cross,Humanitarian assistance to affected populations.,,2199978.00,Commitment,2019
190102,"Sweden, Government of",Norwegian Refugee Council,Humanitarian assistance to affected populations. Support to NRC is Programme Based.,,2804746.00,Commitment,2019
190145,"Sweden, Government of",Afghanistan Humanitarian Fund,Support to CBPF. Humanitarian assistance to affected populations.,,6526275.00,Paid Contribution,2019
190154,"Sweden, Government of",Swedish Red Cross,Humanitarian assistance to affected populations.,,701187.00,Commitment,2019
190195,"Sweden, Government of",Oxfam GB,RRM: Afghanistan Flood response 2019 (Herat Province),Emergency Shelter and NFI | Food Security | Water Sanitation Hygiene,536251.00,Commitment,2019
190220,"United States of America, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office [OCT 6362];[720FDA19IO00012] (USAID/OFDA),Coordination and support services,500000.00,Paid Contribution,2019
190294,European Commission's Humanitarian Aid and Civil Protection Department,Danish Refugee Council,Emergency shelter to flood affected populations in Afghanistan (part of ECHO/DRF/BUD/2018/91023),Emergency Shelter and NFI,244374.00,Commitment,2019
190295,European Commission's Humanitarian Aid and Civil Protection Department,Danish Refugee Council,Emergency shelter to flood affected populations in Afghanistan (part of ECHO/DRF/BUD/2018/91023),Emergency Shelter and NFI,485144.00,Commitment,2019
190328,"Japan, Government of",World Food Programme,Humanitarian assistance,Food Security,500000.00,Paid Contribution,2019
190329,"Japan, Government of",World Food Programme,Humanitarian assistance,Food Security,750000.00,Paid Contribution,2019
190330,"Australia, Government of",World Food Programme,Humanitarian assistance,Food Security,4694836.00,Paid Contribution,2019
190331,"Netherlands, Government of",World Food Programme,Humanitarian assistance,Food Security,3400000.00,Paid Contribution,2019
190332,"Korea, Republic of, Government of",World Food Programme,Humanitarian assistance,Food Security,4000000.00,Paid Contribution,2019
190333,"Russian Federation, Government of",World Food Programme,Humanitarian assistance,Food Security,1000000.00,Paid Contribution,2019
190342,"Canada, Government of",World Food Programme,Food,Food Security,1519757.00,Paid Contribution,2019
190343,"Canada, Government of",World Food Programme,"WFP - UNHAS: Logistics, Support Services (P007070)",Logistics,189970.00,Paid Contribution,2019
190394,"Ireland, Government of",Concern Worldwide,To save lives and alleviate suffering,,400844.00,Commitment,2019
190430,"United States of America, Government of",Norwegian Refugee Council,Protection: Baghdis (State/PRM),Protection,100000.00,Commitment,2019
190431,"United States of America, Government of",United Nations Children's Fund,Nutrition (USAID/FFP),Nutrition,6500000.00,Paid Contribution,2019
190432,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,6036.00,Commitment,2019
190540,"France, Government of",Food & Agriculture Organization of the United Nations,******,Food Security,341297.00,Commitment,2019
190947,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Food security through cash assistance for those affected by the drought in the provinces of Samangan and Jawzjan,Food Security,903010.00,Commitment,2019
190966,"Austria, Government of",Austrian Red Cross,To support the affected population,Emergency Shelter and NFI,2229654.00,Commitment,2019
190968,European Commission's Humanitarian Aid and Civil Protection Department,ZOA,Flight Operations for Humanitary Assistance in Afghanistan (FLOFA 2019) (part of ECHO/-AS/BUD/2019/91005) (outside HRP),Coordination and support services,2244669.00,Commitment,2019
191039,"Japan, Government of",Japan Platform,Monitoring and Evaluation of Projects Implemented by JPF Member NGOs in Afghanistan,,135379.00,Paid Contribution,2019
191187,European Commission's Humanitarian Aid and Civil Protection Department,Danish Refugee Council,"Emergency Response Mechanism in Afghanistan, and Winterization Assistance in Herat Province (ECHO/-AS/BUD/2019/91010)",Multi-sector,4857020.00,Commitment,2019
191197,"Canada, Government of",International Organization for Migration,In support of IOM's 2019 humanitarian operations in Afghanistan (P007071) - Humanitarian assistance for Afghan Returnees,Protection,378501.00,Paid Contribution,2019
191209,UNICEF National Committee/Denmark,United Nations Children's Fund,Coordination cluster,Coordination and support services,76476.00,Paid Contribution,2019
191210,"Japan, Government of",United Nations Children's Fund,Afghanistan - Continued access to education for emergency-affected children,Education,625000.00,Paid Contribution,2019
191211,United Nations Children's Fund,United Nations Children's Fund,Nutrition,Nutrition,4634166.00,Paid Contribution,2019
191212,United Nations Children's Fund,United Nations Children's Fund,WASH,Water Sanitation Hygiene,2121153.00,Paid Contribution,2019
191213,United Nations Children's Fund,United Nations Children's Fund,Protection,Protection,137537.00,Paid Contribution,2019
191214,United Nations Children's Fund,United Nations Children's Fund,Education,Education,50973.00,Paid Contribution,2019
191215,United Nations Children's Fund,United Nations Children's Fund,Coordination,Coordination and support services,57110.00,Paid Contribution,2019
191237,"Canada, Government of",United Nations High Commissioner for Refugees,In support of UNHCR's 2019 operations in Afghanistan (P007069) - out of HRP,,949848.00,Paid Contribution,2019
191273,European Commission's Humanitarian Aid and Civil Protection Department,Action Contre la Faim,Emergency Response Mechanism (ERM) in Afghanistan (ECHO/-AS/BUD/2019/91009),,1929766.00,Commitment,2019
191349,"Norway, Government of",Norwegian Refugee Council,"Global Partnership Agreement between the Norwegian Ministry of Foreign Affairs (MFA) and the Norwegian Refugee Council (NRC) regarding assistance to displaced people worldwide, 2016-2018. (QZA-16/0141-1)",,434363.00,Paid Contribution,2019
191449,"Sweden, Government of",Swedish Red Cross,Afghanistan: Drought and Floods,Other,114758.00,Commitment,2019
191466,"Sweden, Government of",Action Against Hunger,"Integrated response to people affected by floods in Helmand and Ghor, Afghanistan",,331081.00,Commitment,2019
191476,"Canada, Government of",Oxfam Canada,Contribution from the CHAF to respond to flooding in Herat,Multi-sector | Protection | Water Sanitation Hygiene,52000.00,Commitment,2019
191491,"Japan, Government of",United Nations High Commissioner for Refugees,in the HRP,,1905142.00,Paid Contribution,2019
191621,"Norway, Government of",Norwegian Red Cross,"Activity: Health, ICRC. Thematic: Health (QZA-18/0130-10).",Health,692361.00,Paid Contribution,2019
191656,"Norway, Government of",Norwegian Red Cross,"Activity med. log & hum services Thematic: DRM, Health, Protection (QZA-18/0130-8).",Health | Protection,346180.00,Paid Contribution,2019
191657,"Norway, Government of",Norwegian Red Cross,Activity Health (QZA-18/0130-9),Health,1038541.00,Paid Contribution,2019
191731,"Denmark, Government of",Danish Red Cross,"ICRC contribution, Afghanistan",Other,1565917.00,Commitment,2019
191831,"Germany, Government of",International Committee of the Red Cross,"Measures regarding help, protection, prevention and cooperation in Afghanistan 2019 portion of multiyear: 10.000.000,00 €",Early Recovery | Emergency Shelter and NFI | Food Security | Health | Nutrition | Other | Protection | Water Sanitation Hygiene,1096491.00,Commitment,2019
191896,"Denmark, Government of",Danish Refugee Council,Annual Programme 2019,,2674147.00,Commitment,2019
191900,"Denmark, Government of",Danish Refugee Council,Annual Programme 2019 - Regional contribution,,317531.00,Commitment,2019
191924,"Denmark, Government of",United Nations Children's Fund,WASH - Afghanistan 2019,Water Sanitation Hygiene,284125.00,Paid Contribution,2019
191961,European Commission's Humanitarian Aid and Civil Protection Department,International Federation of Red Cross and Red Crescent Societies,"ARCS emergency flood response in Nangarhar, Faraha and Helmand (ECHO/DRF/BUD/2018/91021)",Emergency Shelter and NFI | Food Security,1122334.00,Commitment,2019
192015,"Sweden, Government of",Save the Children,"RRM: Assist flood affected people with NFIs, unconditional cash transfers and psycho social support",Emergency Shelter and NFI | Health,200542.00,Commitment,2019
192054,European Commission's Humanitarian Aid and Civil Protection Department,Action Contre la Faim,Emergency Health and Nutrition response - integrated with MHPSS - to critically affected populations in Afghanistan to bridge access with mitigation of protection concerns in order to safely meet critical needs (part of ECHO/-AS/BUD/2019/91007),Health | Nutrition,3947249.00,Commitment,2019
192062,European Commission's Humanitarian Aid and Civil Protection Department,World Food Programme,Emergency food assistance for families affected by floods in Afghanistan (ECHO/DRF/BUD/2018/91022),Food Security,392031.00,Paid Contribution,2019
192064,European Commission's Humanitarian Aid and Civil Protection Department,Caritas Germany (DCV),"Life Saving Assistance to drought affected communities of Du Layna and Lal Wa Sarjangal district, Ghor province, Afghanistan (part of ECHO/-AS/BUD/2018/91025)",Food Security,454545.00,Commitment,2019
192316,"Germany, Government of",Malteser International Order of Malta World Relief,"Basic medical care for returnees, internally displaced people and host communities2018: 35.193 €   2019: 175.102,57 €   2020: 147.494,65 €",Health,195210.00,Commitment,2019
192353,"Canada, Government of",International Committee of the Red Cross,Support to ICRC 2019 annual appeal for Afghanistan,,2227171.00,Commitment,2019
192415,UNICEF National Committee/Denmark,United Nations Children's Fund,Thematic Humanitarian funds for Cross sectoral Activities - Afghanistan (SM1899100531),Coordination and support services,135873.00,Paid Contribution,2019
192734,European Commission's Humanitarian Aid and Civil Protection Department,International NGO Safety Organisation,INSO Afghanistan (ECHO/-AS/BUD/2019/91012),Coordination and support services,2731327.00,Commitment,2019
192844,"United States of America, Government of",United Nations Children's Fund,"Water, Sanitation and Hygiene (USAID/OFDA)",Water Sanitation Hygiene,8000000.00,Paid Contribution,2019
193062,Afghanistan Humanitarian Fund,World Food Programme,United Nation Humanitarian Air Service,Logistics,2000000.00,Paid Contribution,2019
193235,European Commission's Humanitarian Aid and Civil Protection Department,Handicap International - Humanity & Inclusion,"Physical rehabilitation, psychosocial support and mine risk education services for communities, IDP, Returnees and other people affected by Conventional Weapons (CWs) and/or conflict outbursts in Afghanistan (part of ECHO/-AS/BUD/2019/91013)",Protection | Protection - Mine Action,149009.00,Commitment,2019
193315,European Commission's Humanitarian Aid and Civil Protection Department,Handicap International - Humanity & Inclusion,"Physical rehabilitation, psychosocial support and mine risk education services for communities, IDP, Returnees and other people affected by Conventional Weapons (CWs) and/or conflict outbursts in Afghanistan (part of ECHO/-AS/BUD/2019/91013)",Health,4841977.00,Commitment,2019
193452,"Germany, Government of",Afghanistan Humanitarian Fund,Germany provides the fund to Afghanistan (2019),,1125210.00,Paid Contribution,2019
193453,"Korea, Republic of, Government of",Afghanistan Humanitarian Fund,"Korea, Republic of provides the fund to Afghanistan (2019)",,1000000.00,Paid Contribution,2019
193679,"United States of America, Government of",World Food Programme,Nutrition  (USAID/FFP),Nutrition,8944464.00,Paid Contribution,2019
193822,European Commission's Humanitarian Aid and Civil Protection Department,International Committee of the Red Cross,ICRC Prevention and Health activities in Afghanistan (ECHO/-AS/BUD/2019/91014),Health,6451613.00,Commitment,2019
194110,"Canada, Government of",Canadian Red Cross Society,Contribution to the IFRC's emergency appeal (P006382),,222387.00,Paid Contribution,2019
194112,"Canada, Government of",CARE Canada,"Emergency Shelter and NFI, Protection (P006086
)",Emergency Shelter and NFI,518903.00,Commitment,2019
194113,"Canada, Government of",Afghanistan Humanitarian Fund,Afghanistan Humanitarian Fund (MPTF 5882) (P007444),,381133.00,Paid Contribution,2019
194463,"United States of America, Government of",World Food Programme,Food security (USAID/OFDA),Food Security,5000000.00,Paid Contribution,2019
194464,"Afghanistan, Government of",World Food Programme,Food security,Food Security,903177.00,Paid Contribution,2019
194466,"Switzerland, Government of",World Food Programme,Food security (7F-06817.55),Food Security,997009.00,Paid Contribution,2019
194603,European Commission's Humanitarian Aid and Civil Protection Department,World Health Organization,"Provision of emergency trauma care and primary healthcare services for the internally displaced population, host communities, and those affected by conflicts (part of ECHO/-AS/BUD/2019/91011)",Health,5005562.00,Commitment,2019
194658,"Norway, Government of",Norwegian Refugee Council,"Global Partnership Agreement between the Norwegian Ministry of Foreign Affairs (MFA) and the Norwegian Refugee Council (NRC) regarding assistance to displaced people worldwide, 2016-2018. (QZA-16/0141-1)",,1095331.00,Paid Contribution,2019
194820,"Japan, Government of",CWS Japan,Mitigating drought impact through agricultural assistance in Bamyan,,445725.00,Paid Contribution,2019
194821,"Japan, Government of",Shanti Volunteer Association,"Emeregency protection, education and WASH assisntace to returnees and IDPs in Nangarhar and Kunar Province, Afghanistan",Other,803209.00,Paid Contribution,2019
194868,"Germany, Government of",Geneva International Centre for Humanitarian Demining,AFGHANISTAN - Support Capacity Building in 10 priority countries to promote effective and efficient humanitarian mine and ordnance clearance (2019 portion),,101506.00,Commitment,2019
195224,United Nations Development Programme,International Labour Organization,"Support Afghanistan Livelihoods and Mobility (SALAM). Total funding amount: $1,537,733 (2018: $734,192; 2019: $803,604)",Early Recovery,803604.00,Paid Contribution,2019
195267,"Norway, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office [OCT 6599];[QZA-18/0177],,171331.00,Paid Contribution,2019
195279,European Commission's Humanitarian Aid and Civil Protection Department,International Organization for Migration,"Strengthening National and Cross-border Humanitarian Protection Assistance, Accountability and Advocacy in Afghanistan (part of ECHO/-AS/BUD/2018/91020)",Protection,464576.00,Commitment,2019
195366,"United States of America, Government of",Food & Agriculture Organization of the United Nations,"Support to Drought-affected and Food Insecure Farming Families in Agriculture, Livestock Protection and Water Infrastructure Rehabilitation (USAID/OFDA)",Food Security,1950000.00,Commitment,2019
195550,European Commission's Humanitarian Aid and Civil Protection Department,World Food Programme,"Emergency Assistance to Conflict and Natural Disaster IDPs in Badghis, Afghanistan (part of ECHO/-AS/BUD/2019/91020)",Food Security,1020682.00,Paid Contribution,2019
195699,"Germany, Government of",HALO Trust,Humanitarian mine and ordnance disposal in Afghanistan,,0.00,Commitment,2019
195700,"Germany, Government of",HALO Trust,Humanitarian mine and ordnance disposal in Afghanistan (2019 portion),Protection - Mine Action,3409091.00,Commitment,2019
195891,"Germany, Government of",Johanniter-Unfall-Hilfe e.V.,"Basic Health Services and nutrition for EDPs and Kuchi nomads in die province of Khost, Afghanistan",Health | Nutrition,384988.00,Commitment,2019
195969,"Saudi Arabia (Kingdom of), Government of",King Salman Humanitarian Aid and Relief Center,"In-Kind: Provision and distribution 20,000 of food baskets in Afghanistan",Food Security,1000000.00,Paid Contribution,2019
196592,"United States of America, Government of",,Food Security  (USAID/FFP),Food Security,3125820.00,Commitment,2019
196593,"United States of America, Government of",,Food Security  (USAID/FFP),Food Security,1305319.00,Commitment,2019
196630,"Norway, Government of",Handicap International - Humanity & Inclusion,"Victim assistance in Afghanistan:  Empowering survivors and indirect victims, including people with disabilities.(QZA-19/0069-1)",,88008.00,Paid Contribution,2019
196678,Afghanistan Humanitarian Fund,Action Contre la Faim,"Drought response: Integrated protection response to hard to reach and most vulnerable people in Helmand, Badghis and Herat Province aiming to reduce negative coping strategies
 Protection - GBV ($231464.29), Protection - CPiE ($260397.32), PROTECTION ($86799.11)",Protection,578660.00,Paid Contribution,2019
196679,Afghanistan Humanitarian Fund,ACT Alliance / Christian Aid,Winterization and Shelter Response in Qadis District of Badghis Province,Emergency Shelter and NFI,531736.00,Paid Contribution,2019
196680,Afghanistan Humanitarian Fund,Coordination of Afghan Relief,Providing crises affected out of school children with inclusive and quality education in Kandahar Province.[AFG-19/3481/SA1/EIE-APC-WASH/NGO/13303],Education,442784.00,Paid Contribution,2019
196681,Afghanistan Humanitarian Fund,Coordination of Afghan Relief,Providing crises affected out of school children with inclusive and quality education in Kandahar Province.[AFG-19/3481/SA1/EIE-APC-WASH/NGO/13303],Protection,27674.00,Paid Contribution,2019
196682,Afghanistan Humanitarian Fund,Coordination of Afghan Relief,Providing crises affected out of school children with inclusive and quality education in Kandahar Province.[AFG-19/3481/SA1/EIE-APC-WASH/NGO/13303],Water Sanitation Hygiene,83022.00,Paid Contribution,2019
196688,Afghanistan Humanitarian Fund,Concern Worldwide,"Stock Prepositioning, Emergency Shelter, and Winterization Support for Conflict and Natural Disaster Affected Families in Northeastern Afghanistan",Emergency Shelter and NFI,713092.00,Paid Contribution,2019
196689,Afghanistan Humanitarian Fund,Danish Refugee Council,"Winterization support for vulnerable, shock affected people in Afghanistan",Emergency Shelter and NFI,958000.00,Paid Contribution,2019
196690,Afghanistan Humanitarian Fund,Danish Refugee Council,"Winterization support for vulnerable, shock affected people in Afghanistan",Food Security,783207.00,Paid Contribution,2019
196694,Afghanistan Humanitarian Fund,World Vision International,Livelihood recovery for returnees and vulnerable host communities affected by drought in places of origin in Badghis Province.,Food Security,992913.00,Paid Contribution,2019
196697,Afghanistan Humanitarian Fund,ZOA,Livelihood recovery for returnees and vulnerable host communities affected by drought in places of origin in Badghis Province.,Food Security,534400.00,Paid Contribution,2019
196698,Afghanistan Humanitarian Fund,Food & Agriculture Organization of the United Nations,"Emergency livelihoods support to flood-affected farmers in Farah, Helmand, Faryab and Balkh provinces",Food Security,2320000.00,Paid Contribution,2019
196699,Afghanistan Humanitarian Fund,Human Resources Development Agency,"To protect vulnerable boys and girls via formation of Child Friendly Spaces and awareness raising on child protection, child rights and psycho-social issues in Kandahar and Hilmand provinces.  Protection - Child Protection",Protection,179957.00,Paid Contribution,2019
196702,Afghanistan Humanitarian Fund,International Rescue Committee,"Access to quality, protective and inclusive learning in Helmand and Badghis",Education,1041826.00,Paid Contribution,2019
196704,Afghanistan Humanitarian Fund,International Rescue Committee,"Access to quality, protective and inclusive learning in Helmand and Badghis",Water Sanitation Hygiene,228693.00,Paid Contribution,2019
196707,Afghanistan Humanitarian Fund,International Rescue Committee,Emergency Shelter and NFI Support for Crisis-Affected Populations,Emergency Shelter and NFI,844394.00,Paid Contribution,2019
196710,Afghanistan Humanitarian Fund,New Consultancy and Relief Organization,Food and Livelihood inputs assistance to the conflict affected IDPs returned to their place of origin in Nangraha and Kunar province.,Food Security,643391.00,Paid Contribution,2019
196714,Afghanistan Humanitarian Fund,Oxfam Novib Netherlands,"Intigrated Food Security and Livelihood, and Gender Based Violence response to returning drought IDPs and flood affected families in Herat, and Hilmand provinces",Food Security,567972.00,Paid Contribution,2019
196717,Afghanistan Humanitarian Fund,Oxfam Novib Netherlands,"Intigrated Food Security and Livelihood, and Gender Based Violence response to returning drought IDPs and flood affected families in Herat, and Hilmand provinces",Protection,133228.00,Paid Contribution,2019
196718,Afghanistan Humanitarian Fund,United Nations Children's Fund,Provision of lifesaving therapeutic supply (RUTF) for children aged 6-59 months with Severe Acute Malnutrition (SAM) in high priority areas,Nutrition,2000069.00,Paid Contribution,2019
196721,Afghanistan Humanitarian Fund,United Nations Office for Project Services,Awaaz Afghanistan (IAIC),Protection,100000.00,Paid Contribution,2019
196726,Afghanistan Humanitarian Fund,World Vision International,Access to basic education for children living in hard to reach areas of Badghis Province,Education,619791.00,Paid Contribution,2019
196728,Afghanistan Humanitarian Fund,ZOA,Shelter Repair Assistance to households affected by 2019 floods and conflict in Jawzjan and Sar-e-Pul provinces,Emergency Shelter and NFI,520825.00,Paid Contribution,2019
196820,,Office for the Coordination of Humanitarian Affairs,"Afghanistan - OCHA Office from UN, NGOs and other entities (Azerbaijan Red Crescent Society) [OCT 6631];[01/238]",Coordination and support services,3560.00,Paid Contribution,2019
196961,European Commission's Humanitarian Aid and Civil Protection Department,,Action B: Emergency Toolbox - AFGHANISTAN (ECHO/DRF/BUD/2019/91000),,491208.00,Commitment,2019
196995,Afghanistan Humanitarian Fund,Children in Crisis,"Safe, Sustained Access to Education for 3500 OOS Children in Uruzgan   AFGHANISTAN EDUCATION IN EMERGENCIES WORKING GROUP ($319017.94), Protection - CPiE ($79754.48)",Education,319017.00,Paid Contribution,2019
196996,Afghanistan Humanitarian Fund,Children in Crisis,"Safe, Sustained Access to Education for 3500 OOS Children in Uruzgan   AFGHANISTAN EDUCATION IN EMERGENCIES WORKING GROUP ($319017.94), Protection - CPiE ($79754.48) Total amount allocated $398,772.42",Protection,79754.00,Paid Contribution,2019
197007,Afghanistan Humanitarian Fund,Norwegian Refugee Council,Shelter and Winterisation Assistance to Displacement-affected Households in Balkh and Faryab Provinces,Emergency Shelter and NFI,1465350.00,Paid Contribution,2019
197016,Afghanistan Humanitarian Fund,Save the Children,"Integrated response to crisis affected communities in Faryab and Kandahar provinces, Afghanistan 
AFGHANISTAN EDUCATION IN EMERGENCIES WORKING GROUP (80.6%), Protection - CPiE (19.4%)",Education,999440.00,Paid Contribution,2019
197018,Afghanistan Humanitarian Fund,Save the Children,"Integrated response to crisis affected communities in Faryab and Kandahar provinces, Afghanistan 
AFGHANISTAN EDUCATION IN EMERGENCIES WORKING GROUP (80.6%), Protection - CPiE (19.4%)",Protection,240560.00,Paid Contribution,2019
